"ID","wf1_group","wf2_group","r_corr","pra_linear","mandel_p_val","concavity","r2_linear","r2_adj_linear","mandel_stats"
"Limit Of Detection 092","Poor Linearity","LOD",0.895168,74.4440402117896,0.00248441941965805,241.77779703816,0.801325,0.76159,45.8273001989809
"Limit Of Detection 093","Good Linearity","Good Linearity",0.939501,81.4583321838763,0.00180498660869724,629.211480007636,0.882662,0.859194,54.336706426572
"Limit Of Detection 094","Poor Linearity","LOD",0.886395,74.4385636969144,0.00663954592220663,1446.75579504067,0.785697,0.742836,26.7569770786679
"Limit Of Detection 095","Good Linearity","Good Linearity",0.923728,80.4705626055489,0.0190998462960437,328.485148532445,0.853273,0.823927,14.4417647743066
"Limit Of Detection 096","Poor Linearity","LOD",0.907803,75.9441357779663,0.0056363488020119,1316.630171523,0.824107,0.788928,29.3203414602841
"Limit Of Detection 097","Poor Linearity","LOD",0.861672,72.2986355637309,0.0233545259505557,1423.49441907809,0.742478,0.690974,12.7521475413913
"Limit Of Detection 098","Poor Linearity","LOD",0.864973,71.3827823622079,0.00877412302069835,777.063642879139,0.748179,0.697814,22.8504978576726
"Limit Of Detection 099","Poor Linearity","LOD",0.86109,72.0892979253648,0.0142702148699999,812.513000863884,0.741476,0.689771,17.2153777158653
"Limit Of Detection 100","Good Linearity","Good Linearity",0.942972,82.0590008664137,6.83471742307202e-06,11.8370313357736,0.889197,0.867036,933.615244323061
"Limit Of Detection 101","Poor Linearity","LOD",0.925091,78.7864216606291,0.00172888303497685,258.114229086212,0.855793,0.826952,55.5916778021456
"Limit Of Detection 102","Poor Linearity","LOD",0.898721,74.7509342905531,0.00246259327240725,295.59977675972,0.8077,0.76924,46.0445203924093
"Limit Of Detection 103","Poor Linearity","LOD",0.870464,73.8241488787823,0.0163144380086883,521.644419172207,0.757708,0.70925,15.8910111280202
"Limit Of Detection 104","Poor Linearity","LOD",0.918318,78.3935469991822,0.00139595710078999,499.372277974091,0.843309,0.81197,62.2397571218457
"Limit Of Detection 105","Poor Linearity","LOD",0.874413,73.5981830119199,0.0231827541484496,743.918164643567,0.764599,0.717518,12.8111879287984
"Limit Of Detection 106","Poor Linearity","LOD",0.899293,75.7925345341243,0.00200092217978233,1738.18103621215,0.808728,0.770474,51.4419237537821
"Limit Of Detection 107","Poor Linearity","LOD",0.879821,73.1425553452676,0.00717162821072177,901.920360409603,0.774085,0.728902,25.6215304048646
"Limit Of Detection 108","Poor Linearity","LOD",0.894501,74.6345408415807,0.0139565792568414,814.560086113356,0.800132,0.760159,17.4439760728903
"Limit Of Detection 109","Poor Linearity","LOD",0.923472,78.7280929263629,0.00164993099448814,743.129524845431,0.8528,0.82336,56.9843498240608
"Limit Of Detection 110","Good Linearity","Good Linearity",0.935136,80.695801877404,0.00042514272900211,458.299774352567,0.874479,0.849374,115.471525176428
"Limit Of Detection 111","Poor Linearity","LOD",0.930015,79.8186014258965,0.00510179096522506,508.741979847515,0.864928,0.837914,30.9857167210092
"Limit Of Detection 112","Poor Linearity","LOD",0.885075,73.9733604813462,0.0070292477834873,545.220367004429,0.783358,0.740029,25.9126836044391
"Limit Of Detection 113","Good Linearity","Good Linearity",0.935979,81.1632907404986,0.0159751556651414,743.243612864529,0.876057,0.851268,16.0930571073832
