"ID","wf1_group","wf2_group","r_corr","pra_linear","mandel_p_val","concavity","r2_linear","r2_adj_linear","mandel_stats"
"Saturation 178","Poor Linearity","Saturation",0.92024,73.3511886717793,0.00261105829055518,-15.9979079326402,0.846841,0.81621,44.621195798979
"Saturation 179","Poor Linearity","Saturation",0.92536,65.4898538554875,0.0026176149426736,-27.3012046386818,0.856291,0.827549,44.5611450553116
"Saturation 180","Good Linearity","Good Linearity",0.933914,82.2236554027146,0.00509048163468528,-16.7146392472897,0.872196,0.846635,31.0237607516767
"Saturation 181","Poor Linearity","Saturation",0.909034,71.71264002163,0.00573402548317976,-12.287341715855,0.826342,0.79161,29.0414956746
"Saturation 182","Poor Linearity","Saturation",0.91427,66.0460996407286,0.00110500454139436,-21.7226880895359,0.83589,0.803068,70.3656597106759
"Saturation 183","Poor Linearity","Saturation",0.925038,77.5733044949275,0.0029475749852981,-29.8584838889722,0.855695,0.826834,41.803048955815
"Saturation 184","Good Linearity","Good Linearity",0.925869,82.6143306170095,0.00736720242485537,-16.660671089674,0.857233,0.828679,25.2354557181493
"Saturation 185","Poor Linearity","Saturation",0.922749,69.4043425370546,0.00190978621680148,-30.9332409861687,0.851466,0.82176,52.7329065912921
"Saturation 186","Poor Linearity","Saturation",0.908686,63.3148800880419,0.00724791192521183,-21.2903983854709,0.825711,0.790853,25.4690825557387
"Saturation 187","Poor Linearity","Saturation",0.931922,74.1019780416073,0.000917626393063543,-4.93770021676748,0.868479,0.842174,77.5388215587358
"Saturation 188","Poor Linearity","Saturation",0.911076,74.3763876008431,0.00833611974454427,-27.5213186419185,0.83006,0.796072,23.5278037964408
"Saturation 189","Poor Linearity","Saturation",0.915411,69.2860404684918,0.00232530978511219,-27.7431982041125,0.837978,0.805573,47.480212106328
"Saturation 190","Poor Linearity","Saturation",0.911997,70.2672380435856,0.00324156014081888,-2.99510495952672,0.831739,0.798087,39.7094910382708
"Saturation 191","Poor Linearity","Saturation",0.918564,72.9115956985969,0.00109337382294389,-30.161439056654,0.84376,0.812512,70.7564845541397
"Saturation 192","Poor Linearity","Saturation",0.91313,75.9229329356115,0.00398545314320066,-36.5587664046545,0.833807,0.800568,35.4894139157794
"Saturation 193","Poor Linearity","Saturation",0.926732,68.8478821993366,0.0013589498698312,-15.4637449444012,0.858833,0.830599,63.1262576471088
"Saturation 194","Good Linearity","Good Linearity",0.928625,80.6107168984328,0.00307023151188628,-35.0811006794743,0.862345,0.834814,40.8930454314837
"Saturation 195","Poor Linearity","Saturation",0.924201,74.1310525039368,0.000782141374704517,-16.0126418608106,0.854148,0.824977,84.2619959553476
"Saturation 196","Poor Linearity","Saturation",0.931917,75.225717664302,0.000951389645496667,-7.38649415187611,0.868469,0.842163,76.0912317164049
"Saturation 197","Poor Linearity","Saturation",0.920012,68.6791158239015,0.00325240597619068,-32.2301335435031,0.846423,0.815707,39.6377314757062
"Saturation 198","Poor Linearity","Saturation",0.907642,79.1878248750208,0.0131627325679162,-11.7104350184131,0.823814,0.788576,18.0587277075246
"Saturation 199","Poor Linearity","Saturation",0.910764,67.1597381857848,0.0094853318605975,-34.2089091229358,0.82949,0.795389,21.8524518744456
"Saturation 200","Poor Linearity","Saturation",0.916587,65.3032211500179,0.000580132496119563,-36.039626469962,0.840131,0.808158,98.3728873752603
